ID,NAME,SLUG,COUNTRY,COUNTRY-SLUG,LAT,LON
1revUESSy9HAcXqa5NZjKy,"Barbate, Spain",barbate-spain,Spain,spain,36.1863,-5.9191
1P87wM2YWcDbwvthiVjOVu,"Benavides, Spain",benavides-spain,Spain,spain,36.0597,-5.7131
6eClGcYtA59p7uQ0XQGo1E,"Punta Paloma, Spain",punta-paloma-spain,Spain,spain,36.0681,-5.693
4dhlclmxAyY30bc6rqTFcd,"Tangana, Spain",tangana-spain,Spain,spain,36.0664,-5.6848
7yNKiPh7Edjw9ARw2bmihY,"Valdevaqueros, Spain",valdevaqueros-spain,Spain,spain,36.0651,-5.6825
7E9mNnQUYYH4HN0JyT5zwu,"Dos Mares, Spain",dos-mares-spain,Spain,spain,36.0499,-5.646
69krNBgMDRnWKQ4BA87KPz,"Los Lances, Spain",los-lances-spain,Spain,spain,36.0441,-5.6381
7vflxBQmPyxovM6x02IVNs,"Rio Jara, Spain",rio-jara-spain,Spain,spain,36.0323,-5.6258
3jV90vfDLgxsmjRFx6usWm,"La Jaima, Spain",la-jaima-spain,Spain,spain,36.0237,-5.6184
3jN8wUImM1U9XJ0ISMEfwa,"Tarifa, Spain",tarifa-spain,Spain,spain,36.0135,-5.6116
54dZKn279hjY2Rp8wGAbST,"Playa Chica, Spain",playa-chica-tarifa-spain,Spain,spain,36.0084,-5.6065
IZBQbaDy3TcUdLE67R8JI,"Arte Vida, Spain",arte-vida-spain,Spain,spain,36.0516,-5.6488
7itrDDOhedFb95emLZHv8r,"Le Diamant, Martinique",le-diamant-martinique,Martinique,martinique,14.4775,-61.0319
2Z4AZOKs4deWQm6rXzLlsq,"Dune Blanche / White Dune, Dakhla, Morocco",dakhla-dune-blanche-white-dune-morocco,Morocco,morocco,23.814072856068915,-15.747067407226565
RkilrFB9WMEqcLS3TNgEg,"L'Ile de Kerner, France",l-ile-de-kerner-france,France,france,47.7022,-3.3128
6tvc23NhnbR2m4ti3mTdZo,"Luc-sur-Mer, France",luc-sur-mer-france,France,france,49.3204,-0.354
1fcihEMku71B9RdiaFJoiY,"Yallingup, Australia",yallingup-australia,Australia,australia,-33.6333,115.0283
1y2uf4XlfLw1cDOP3Ihnay,"Pengo's, Australia",pengo-s-australia,Australia,australia,-32.3051,115.7008
4w3Y18UKBLs3rOFANnhyne,"Masig Island, Australia",masig-island-australia,Australia,australia,-9.7511,143.4103
4EH0FMa6GECaiC0ARIGzzZ,"Lizard Island / Mangrove Beach, Australia",lizard-island-mangrove-beach-australia,Australia,australia,-14.6794,145.4611
ZxwqvtNMXHf8NuC7yxPUb,"Eagle Island, Australia",eagle-island-australia,Australia,australia,-14.6972,145.3776
6vt6uHjh52qHoBeSE6ebsl,"Annan River Mouth, Australia",annan-river-mouth-australia,Australia,australia,-15.5278,145.272
xrbPofEITVcveIv9hEQWY,"Tasmania / Bluff Beach, Australia",tasmania-bluff-beach-australia,Australia,australia,-40.9988,144.6307
WJwPgAontGxc5yLNrnNPn,"Caves Point, Australia",caves-point-australia,Australia,australia,-33.0987,151.6576
sAsZg5q3qm0Zyau91sPbL,"Stockton Beach, Australia",stockton-beach-australia,Australia,australia,-32.8756,151.8111
QYNZLU07ImfGutkf17rZQ,"Long Beach, Australia",long-beach-australia,Australia,australia,-37.1336,139.796
qdyip4QUybHK42ZFj7QOu,"Woody Point, Australia",woody-point-australia,Australia,australia,-27.2605,153.1025
pcZT6EMmSukkELQxKoRfC,"Sunset Beach, Australia",sunset-beach-australia,Australia,australia,-28.726,114.6197
oQtBULHZrEuIJVcmrkJhJ,"Foots Safety Beach, Australia",foots-safety-beach-australia,Australia,australia,-38.5302,145.3708
m8M7F3uq32DhVu84EgExn,"Yorkeys Knob, Australia",yorkeys-knob-australia,Australia,australia,-16.815,145.7309
m7bZD2vpHnQoa1t5RpMqx,"Jervis Bay / Moona Moona Creek, Australia",jervis-bay-moona-moona-creek-australia,Australia,australia,-35.0509,150.6772
kTInW4tXUVADBmYyaNLkD,"Waitpinga, Australia",waitpinga-australia,Australia,australia,-35.6343,138.4977
J8M07y0uRAflQRbbwqIoC,"Bells Beach, Australia",bells-beach-australia,Australia,australia,-38.373,144.277
hPAJF7Vl9IaTBQ9ZAsimn,"Mills Surf Beach, Australia",mills-surf-beach-australia,Australia,australia,-38.3922,142.232
hLnXMZ00U1snDvNE2YPkH,"Short Point Beach, Australia",short-point-beach-australia,Australia,australia,-36.8798,149.9292
G1PnimKykxLeZjTDjqrAY,"Peaceful Bay, Australia",peaceful-bay-australia,Australia,australia,-35.0377,116.9331
FAEyo90asuGNuZYGPS52a,"Wollumboula Lake, Australia",wollumboula-lake-australia,Australia,australia,-34.9418,150.7768
eqXNsUbPXc9xrPhwSOrSD,"Point Danger, Australia",point-danger-australia,Australia,australia,-38.34,144.3275
eHQvmpYLyOMYKFIyhtqPL,"South Beach, Australia",south-beach-australia,Australia,australia,-38.3846,142.2436
cdGVbvqzxOzkAqSMFDxjA,"Hervey Bay / Urangan Pier, Australia",hervey-bay-urangan-pier-australia,Australia,australia,-25.2834,152.9041
B7hmj0UHxwk96oxznmZN8,"Kangaroo Island / Snelling Beach, Australia",kangaroo-island-snelling-beach-australia,Australia,australia,-35.6674,137.0725
aZ41zPpM6b2ALllZuTH4Q,"Kurrimine Beach, Australia",kurrimine-beach-australia,Australia,australia,-17.7782,146.1064
aSQ9N3UwaGfXVepVcw3za,"Brighton Kitebeach, Australia",brighton-kitebeach-australia,Australia,australia,-27.2928,153.065
An0NBzXKZwNslO7V0nuU4,"Lord Howe Island / Salmon Beach, Australia",lord-howe-island-salmon-beach-australia,Australia,australia,-31.5558,159.0762
7zfQV1QourN8sNSyeb4Xp1,"Ross River Mouth, Australia",ross-river-mouth-australia,Australia,australia,-19.2659,146.8353
7vjUcZS00uSPtYjrrRNErC,"Loders Creek, Australia",loders-creek-australia,Australia,australia,-27.9532,153.4099
7uR6t7EgUBCWzN0NQ7DfxT,"Flat Top, Australia",flat-top-australia,Australia,australia,-30.1311,153.2029
7uOdhYAJd30rgCDe94Sj9j,"Swan River / Pelican Point, Australia",swan-river-pelican-point-australia,Australia,australia,-31.9874,115.8198
7sn5NCjicH0sJEFsx6Y7hY,"Bribie Island / Skirmish Point, Australia",bribie-island-skirmish-point-australia,Australia,australia,-27.0874,153.2067
7mERHJ095VDEgvOSIxo6YX,"Wedge Island, Australia",wedge-island-australia,Australia,australia,-30.8236,115.1905
7LiOZFeJlOCWITfvjH0Nqh,"Tasmania / Marion Bay, Australia",tasmania-marion-bay-australia,Australia,australia,-42.8204,147.8702
7JVdOsDn3LG7QGOwQUthu7,"Manypeaks, Australia",manypeaks-australia,Australia,australia,-34.9382,118.1796
7j89shSgQ4TSlltwKk3fVR,"Merimbula, Australia",merimbula-australia,Australia,australia,-36.8927,149.9291
7HmzJ0kWOwyAzUWnttSDx3,"Lord Howe Island / Lagoon Beach, Australia",lord-howe-island-lagoon-beach-australia,Australia,australia,-31.5307,159.0668
7GZbAyZZwennL5VHCo1E2y,"Middle Rock, Australia",middle-rock-australia,Australia,australia,-31.5648,152.8508
7f3bhJsjM1ICglEdpqNIco,"Lancelin Island, Australia",lancelin-island-australia,Australia,australia,-31.0295,115.3247
7emzqb0yxwjUfRtvzyE4z2,"Hangover Bay, Australia",hangover-bay-australia,Australia,australia,-30.5929,115.1038
7Do4BkAVmO3RrkgE6UlwYv,"Denham Lookout, Australia",denham-lookout-australia,Australia,australia,-25.9493,113.5592
7bP3YgruLBpXmPkf8Jt4TB,"Kingscliff, Australia",kingscliff-australia,Australia,australia,-28.2563,153.5805
7b4fe99AoAZUqUhYvQ3Fks,"Redgate, Australia",redgate-australia,Australia,australia,-34.0369,115.0007
79OdWbW1a9p1GRCQAeeTHk,"Gnarabup, Australia",gnarabup-australia,Australia,australia,-33.99,114.9912
76tsMNcCkmNDJ2Jh0FYAgy,"Dongara, Australia",dongara-australia,Australia,australia,-29.2525,114.9201
76ruQ5GbJIWVD5h3ncTydc,"Kings Beach, Australia",kings-beach-australia,Australia,australia,-20.0009999999999,148.265
74J3IgwpuHkpdYVXZvmNvA,"Hawks Nest, Australia",hawks-nest-australia,Australia,australia,-32.6875,152.1858
72tFdaCspy7f6lFyklUSlP,"Jimmys Beach, Australia",jimmys-beach-australia,Australia,australia,-32.6819,152.1582
6yaRkA38gynAwtn7JoUyJh,"Magnetic Island / Horseshoe Bay, Australia",magnetic-island-horseshoe-bay-australia,Australia,australia,-19.1178,146.8581
6tqmK2RYzx7uQBxokoEuGb,"Tasmania / Greens, Australia",tasmania-greens-australia,Australia,australia,-40.9088,144.6799
6R28jCt5rLbV5mAcAvYCLP,"Jurien Bay, Australia",jurien-bay-australia,Australia,australia,-30.3118,115.0233
6QXuzzSKZLR45CJiF1k0j5,"Back Beach, Australia",back-beach-australia,Australia,australia,-31.0329,115.3345
6QcicIkZJcl8sJxbfrzXEY,"Phillip Island / Woolamai Beach, Australia",phillip-island-woolamai-beach-australia,Australia,australia,-38.5439,145.3391
6KKHHsqXudSvrwwnks5dXQ,"Palm Cove, Australia",palm-cove-australia,Australia,australia,-16.7509999999999,145.6712
6ilyAEQmqEpeBIFfK8ufb8,"Sarina Beach, Australia",sarina-beach-australia,Australia,australia,-21.3844,149.3142
6HnHKvGdB2j8BIeQR9jxeq,"Queens Beach, Australia",queens-beach-australia,Australia,australia,-19.9845,148.2396
6HllhtZ96lhSP8tjgeQsLl,"Culburra Beach, Australia",culburra-beach-australia,Australia,australia,-34.9201,150.7661
6h1x3Rluh1npcGG02BTYil,"Jumpinpin, Australia",jumpinpin-australia,Australia,australia,-27.7428,153.4447
6D0K1ZiDmhiFJUoHrqf7Ab,"Valla Beach, Australia",valla-beach-australia,Australia,australia,-30.5966,153.0136
6amg8dzJL0NxNQHzhZahsc,"The Granites, Australia",the-granites-australia,Australia,australia,-36.681,139.8598
683gOs9uUZ7GNMuHq04PbL,"Main Beach Tannum Sand, Australia",main-beach-tannum-sand-australia,Australia,australia,-23.9469,151.3758
66YUdnVWnYL5Pe0iikwO55,"Shallow Inlet, Australia",shallow-inlet-australia,Australia,australia,-38.8525,146.16
66iSc0hpjDTXvhrRe9yShL,"Pambula Beach Rivermouth, Australia",pambula-beach-rivermouth-australia,Australia,australia,-36.9456,149.9147
60fdDzyOVnQKD42gr4fcNX,"Brighton Road, Australia",brighton-road-australia,Australia,australia,-31.8978,115.755
5xrUNmPf5H8u8Ry2NkfatA,"Tasmania / West Beach, Australia",tasmania-west-beach-australia,Australia,australia,-40.8037,145.1876
5XMLRZJrtRWNeM0aYQENa1,"Lake Weyba, Australia",lake-weyba-australia,Australia,australia,-26.4401,153.0587
5xcQYldjLfElQNPZmqk3iF,"Jasper Beach, Australia",jasper-beach-australia,Australia,australia,-34.442,115.6118
5XCGRgFFjixnFqMwCOnHSd,"The Cutting, Australia",the-cutting-australia,Australia,australia,-38.349,142.3702
5WyMXZlVyUfw2oCtK4pkop,"Tasmania / Port Latta, Australia",tasmania-port-latta-australia,Australia,australia,-40.8555,145.392
5wJrMXOPwXkBprzMjofSED,"Noosa River Mouth, Australia",noosa-river-mouth-australia,Australia,australia,-26.3804,153.0784
5VkFzAGr8Eq5O8BPxNHfSw,"Merimbula Bay, Australia",merimbula-bay-australia,Australia,australia,-36.9013,149.9122
5uNVO9MSeAu2GLmFCdPAiS,"Gerroa, Australia",gerroa-australia,Australia,australia,-34.7727,150.8123
5U9fPxxaPEZ7EyJSrJMCyM,"Tasmania / Caravan Park, Australia",tasmania-caravan-park-australia,Australia,australia,-40.7642,145.2925
5T1ImmaFvTkrbTzMtfAAKr,"Kalang River Mouth, Australia",kalang-river-mouth-australia,Australia,australia,-30.5012,153.0324
5SQieBDC15y6bf9EBcTKVy,"Mullaloo Beach, Australia",mullaloo-beach-australia,Australia,australia,-31.7834,115.7332
5qjXY7YQaIvHZ6eX6FrE5Y,"The Spit Ocean, Australia",the-spit-ocean-australia,Australia,australia,-27.9373,153.4296
5pRIpNeMXC9JLdxK8Cc2lQ,"Nobby Beach, Australia",nobby-beach-australia,Australia,australia,-28.0551,153.4414
5PBkir1CGaEeAoayia6bC1,"Flat Rock Beach, Australia",flat-rock-beach-australia,Australia,australia,-28.8409,153.605
5o8FhS3U3pHyBq3wNNJVQ4,"Sutton Beach, Australia",sutton-beach-australia,Australia,australia,-27.2352,153.1152
5LxBlcgpwbVU6XyQq4XSlM,"Port Gregory, Australia",port-gregory-australia,Australia,australia,-28.1911,114.2507
5kvmP7909AUI6k1nPZ2Vbv,"False Bay, Australia",false-bay-australia,Australia,australia,-32.9733,137.7054
5IwNKSNElI9povneyziGgZ,"Jakes Point, Australia",jakes-point-australia,Australia,australia,-27.7349,114.1461
5Hxsk8cpgvlptiVbBaRdM3,"Coronation Beach, Australia",coronation-beach-australia,Australia,australia,-28.5517,114.5642
5GnXrQRnIHPR2u9xVlF9Bz,"Narrow Neck, Australia",narrow-neck-australia,Australia,australia,-27.985,153.4303
5Fw9wEUvMXbOE2SqYkJYFN,"Bribie Island / Red Beach, Australia",bribie-island-red-beach-australia,Australia,australia,-27.1002,153.1706
5FqKDz69O6poDVPxB7IIzN,"Tasmania / Hawley Beach, Australia",tasmania-hawley-beach-australia,Australia,australia,-41.1549,146.5416
5fplwPRiEfkqBqJwofhnlY,"Lucky Bay, Australia",lucky-bay-australia,Australia,australia,-32.0227,115.8261
5FBbX2rHZE0iMifgh8hYnk,"Seal Island, Australia",seal-island-australia,Australia,australia,-31.8124,115.709
5ds0oZwzWLSNGNXDJli0fK,"Safety Bay, Australia",safety-bay-australia,Australia,australia,-32.3071,115.7138
57cpdMN4EuBiAXM0EkitcL,"Margaret River Main Break, Australia",margaret-river-main-break-australia,Australia,australia,-33.977,114.9853
54AFJrezvVze28KPqco2xh,"Lancelin, Australia",lancelin-australia,Australia,australia,-31.0192,115.3298
50nrEAZZOX7mzBeUfAfiZz,"Hervey Bay / The Dome, Australia",hervey-bay-the-dome-australia,Australia,australia,-25.2831,152.8737
506PAN02bNWMAqFvOjWlba,"Castletown Quays, Australia",castletown-quays-australia,Australia,australia,-33.8377,121.9161
4zgza3hlJibfBVTRXyRjfh,"Sandy Point, Australia",sandy-point-australia,Australia,australia,-38.8279,146.1132
4WzziTUFTPq5OzQiP5lkPY,"Cape Le Grand, Australia",cape-le-grand-australia,Australia,australia,-33.976,122.1174
4wN1M3Pb4ROk0mhpFKoObV,"Monkey Mia, Australia",monkey-mia-australia,Australia,australia,-25.7935,113.7214
4VjvGkzq9e4mQYEHR5LKBF,"Kalbarri, Australia",kalbarri-australia,Australia,australia,-27.7088,114.1579
4V8lVrDpiEnz5lNAFursS6,"Gnaraloo Airstrip, Australia",gnaraloo-airstrip-australia,Australia,australia,-23.7849,113.5274
4t3jag7wU6bqBakZMS439l,"St Georges Basin / Paradise Beach, Australia",st-georges-basin-paradise-beach-australia,Australia,australia,-35.1068,150.6212
4SWUs4enACjWN7o6kUBdpG,"Port Denison, Australia",port-denison-australia,Australia,australia,-29.2823,114.9186
4sc1ipWpp7sK3BATJwHY9I,"Lady Bay, Australia",lady-bay-australia,Australia,australia,-38.3934,142.4882
4saPAqI4KV9pCUC9TX1dz9,"Mackay East Point, Australia",mackay-east-point-australia,Australia,australia,-21.1472,149.2212
4s07YLsxFKsWFcpZ7sy6XS,"Phillip Island / Flynns Beach, Australia",phillip-island-flynns-beach-australia,Australia,australia,-38.4961,145.1491
4lqUvgcSQZFgi7WW0VzzPc,"Woodman Point, Australia",woodman-point-australia,Australia,australia,-32.135,115.7433
4IzdBLWyly58lU2jLKY0Kq,"Ann Street, Australia",ann-street-australia,Australia,australia,-26.7777,153.1381
4hLU02mZCEPDHC1oMqbX64,"Bowen, Australia",bowen-australia,Australia,australia,-20.019,148.2461
4hd36ioMzcQg3azjbLSc8,"Point Moore, Australia",point-moore-australia,Australia,australia,-28.7827,114.5776
4FWpWOlCtDFdv3aZ6ATk5Q,"Tasmania / Nine Mile Beach, Australia",tasmania-nine-mile-beach-australia,Australia,australia,-42.0916,148.1322
4ExNqF8n6A7xUTykiBZBgK,"Killarney, Australia",killarney-australia,Australia,australia,-38.3602,142.2933
4Dk5pfu4HAeHT1tihXCuS2,"Shearwater Esplanade, Australia",shearwater-esplanade-australia,Australia,australia,-27.9115,153.4083
4bSyUhUpn4QBIKs2nLycyo,"Oatland Esplanade, Australia",oatland-esplanade-australia,Australia,australia,-27.9216,153.4069
4AWIYiK9QxkrloXTePCq1V,"Yasso Point, Australia",yasso-point-australia,Australia,australia,-19.9673,148.2261
4asmcXilXGa1p4q7mdXDAl,"Blacks Beach, Australia",blacks-beach-australia,Australia,australia,-21.0595,149.1961
45aoph87xasrOYXnbsUCNm,"Tasmania / Georges Bay, Australia",tasmania-georges-bay-australia,Australia,australia,-41.3261,148.2734
41ODWaiSB7QHIPYWeiw4Y0,"Tuggerah Lake / Canton Beach, Australia",tuggerah-lake-canton-beach-australia,Australia,australia,-33.2716,151.5435
3ylvpmP9M0BjhKxzZIpTyn,"Lennox Head, Australia",lennox-head-australia,Australia,australia,-28.7977,153.595
3wLHKM0d39D23qnHuLfnQi,"Tasmania / Bellbuoy Beach, Australia",tasmania-bellbuoy-beach-australia,Australia,australia,-41.0407,146.8385
3ULQO5NiXGVsoIDxpfjXbf,"Cungulla, Australia",cungulla-australia,Australia,australia,-19.389,147.1131
3uJZiNihHyjOJqAIUzXBHk,"Nambucca Rivermouth, Australia",nambucca-rivermouth-australia,Australia,australia,-30.6505,153.0161
3toFJd3guPHbcCjSnrWulY,"Tasmania / Godfreys Beach, Australia",tasmania-godfreys-beach-australia,Australia,australia,-40.7576,145.297
3TmRDhk3wpmyniQNYlGYHe,"Jervis Bay / Callala Beach, Australia",jervis-bay-callala-beach-australia,Australia,australia,-35.0099,150.7001
3tDu6nRElVLagIxQlU5w4o,"Tasmania / Nettley Bay, Australia",tasmania-nettley-bay-australia,Australia,australia,-40.9105,144.6566
3sKyVIiSjwMxu2HowNkz3T,"Sandbar, Australia",sandbar-australia,Australia,australia,-32.3919,152.5196
3PsDSiPi9geQnDK0LqTgEt,"Alva Beach, Australia",alva-beach-australia,Australia,australia,-19.4559,147.4839
3PpbPg8UZxekidurWdGG8d,"Sygna Shipwreck, Australia",sygna-shipwreck-australia,Australia,australia,-32.858,151.8437
3lpLPi1GlrvbrQ9dt9a3bV,"Whitsunday Island / Whithaven Beach, Australia",whitsunday-island-whithaven-beach-australia,Australia,australia,-20.2561,149.0252
3l7Bkm0HjcQANL7RCJJgu6,"Tasmania / West Inlet, Australia",tasmania-west-inlet-australia,Australia,australia,-40.7882,145.2671
3kiDOlwAE898ahzAQ2OR2g,"Herald Island, Australia",herald-island-australia,Australia,australia,-19.0325,146.6297
3kcgbTQigjfI7sg6DywnQq,"Fourth Mile Beach, Australia",fourth-mile-beach-australia,Australia,australia,-33.8884,121.8294
3k4x3lWH5RaLBqQQTowGgb,"Tasmania / East Inlet, Australia",tasmania-east-inlet-australia,Australia,australia,-40.7901,145.2733
3iS5Sd9O2UeaQ03FvXInAn,"Broulee South Beach, Australia",broulee-south-beach-australia,Australia,australia,-35.8634,150.1681
3fVXBDgITfuTCYCLPh52pj,"Avalon Kite Beach, Australia",avalon-kite-beach-australia,Australia,australia,-32.593,115.6366
3FnhYIjbBB3bUogCbvM8Ks,"Cheyne Bay, Australia",cheyne-bay-australia,Australia,australia,-34.8231,118.401
3fGfgIX3xsA1vzpQXhteW,"Tasmania / St Helens Point, Australia",tasmania-st-helens-point-australia,Australia,australia,-41.3029,148.3291
3amz8k0k2esDwvydQgTVvJ,"Bunker Bay, Australia",bunker-bay-australia,Australia,australia,-33.545,115.0393
39rvaGcDHlIBGW0gH8YkE8,"Town Beach, Australia",town-beach-australia,Australia,australia,-21.1602,149.2008
39JOxDFwLHWQfdBaxUD996,"Beachmere, Australia",beachmere-australia,Australia,australia,-27.1206,153.0604
33aHdSAjCSQUfGDE2j1l2v,"Thirsty Point, Australia",thirsty-point-australia,Australia,australia,-30.5099,115.0582
31AoDhOTAtrVIDzVXHp3KD,"Little Lagoon, Australia",little-lagoon-australia,Australia,australia,-25.8999,113.5385
2YFPUbRjXQfURYCH4TAD8V,"Tasmania / Thunder Reef, Australia",tasmania-thunder-reef-australia,Australia,australia,-40.8611,144.6986
2xye9h1GAoQq8RpXqg86ix,"Leighton, Australia",leighton-australia,Australia,australia,-32.0217,115.7511
2XxMjQYs3p9P5LAPETet4N,"Beachport, Australia",beachport-australia,Australia,australia,-37.4742,140.0312
2XSW3HJb9rtRRGvOg9G5iE,"Merimbula Bar, Australia",merimbula-bar-australia,Australia,australia,-36.8946,149.9209
